longitude,latitude
-699895.8649,-886006.5221
-699895.8649,-886006.5221
-1346316.589,-581284.1868
-1349753.838,-580075.8457
-1348536.586,-579947.6392
-1348536.586,-579947.6392
-1348536.586,-579947.6392
-1348476.391,-579550.2705
-1348476.391,-579550.2705
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1242084.229,-537815.2901
-1234100.43,-538387.2372
-1314900.517,-514648.7301
-1388538.526,-495105.3104
-1342702.088,-490114.1509
-1342702.088,-490114.1509
-1349753.838,-580075.8457
-1481917.642,-19292.34018
-1351368.657,-337463.2477
-1351368.657,-337463.2477
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370633.945,-307855.1933
-1370482.6,-307879.2289
-1295605.039,-448613.0616
-1114899.624,-423413.2556
-1396054.55,-539124.0976
-1442997.437,-508277.1736
-1383002.185,-471922.4148
-1370730.164,-458499.9229
-1372405.828,-457109.5817
-1372405.828,-457109.5817
-1371320.413,-455210.0851
-1385828.375,-344645.2554
-1385828.375,-344645.2554
-1385828.375,-344645.2554
-1385828.375,-344645.2554
-1424158.782,-570354.6171
-1382980.863,-569718.0884
-1382980.863,-569718.0884
-1382980.863,-569718.0884
-1383433.497,-568521.2238
-1401736.35,-563024.5703
-1430127.619,-564699.674
-1430127.619,-564699.674
-1428977.728,-564508.8778
-1432688.518,-563723.4886
-1432688.518,-563723.4886
-1432688.518,-563723.4886
-1430818.429,-564024.8051
-1431753.481,-563874.1961
-1431753.481,-563874.1961
-1431753.481,-563874.1961
-1432135.399,-563267.75
-1432135.399,-563267.75
-1432135.399,-563267.75
-1424791.986,-563140.9326
-1438143.136,-558895.9065
-1490830.298,-204324.441
