longitude,latitude
-1346316.589,-581284.1868
-1354158.363,-577530.6248
-1240260.381,-541651.5224
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1239172.212,-541803.7155
-1248402.236,-532614.5213
-1220386.835,-488842.0692
-1288879.565,-360344.9681
-1288879.565,-360344.9681
-1288879.565,-360344.9681
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1370663.153,-308039.0987
-1402766.234,-455509.0946
-1416069.944,-554739.4767
-1430127.619,-564699.674
-1388667.597,-570333.7874
-1388667.597,-570333.7874
-1388667.597,-570333.7874
-1432135.399,-563267.75
-1432135.399,-563267.75
-1432132.447,-563249.4356
-1432132.447,-563249.4356
-1432132.447,-563249.4356
-1383738.691,-562277.7604
-1072664.266,-447433.1737
-1650516.436,-310281.8799
