longitude,latitude
-1384348.978,-466015.9063
-1239172.212,-541803.7155
-1314900.517,-514648.7301
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373190.924,-317988.0601
-1373251.735,-318155.6089
-1438413.618,-305311.9313
-1438413.618,-305311.9313
-1442997.648,-508276.8255
-1401518.149,-479155.6609
-1401518.149,-479155.6609
-1424339.059,-456291.5186
-1394011.81,-458032.6383
-1359820.128,-513826.4835
-1342425.158,-363272.4629
