longitude,latitude
1302352.606,-797011.9635
1323336.382,-780322.6838
1314811.058,-768709.5905
1318259.581,-781283.3935
34589.59511,-642786.2754
34589.59511,-642786.2754
162590.8171,-739355.2769
161687.7274,-689024.3087
1513940.621,127191.2207
890262.8119,-521601.7803
1306839.185,-700856.2197
-120252.7036,-817690.0829
-285577.5313,-451399.8655
-285577.5313,-451399.8655
259158.5633,-741146.8521
259158.5633,-741146.8521
259158.5633,-741146.8521
-327587.0612,-242017.2007
1495411.441,-383427.6973
1559861.363,-163170.9566
1559926.687,-163526.3069
1334186.984,-754973.5853
-31887.32915,-768876.8631
-31887.32915,-768876.8631
-25201.57416,-733830.6159
1517157.87,-949537.4348
1482285.776,-874827.1698
1497588.558,-899343.4329
1591082.808,-1142403.606
1593747.397,-1134717.015
-281562.7659,-644001.3033
-281562.7659,-644001.3033
1801585.905,470921.6338
1768097.446,472958.5067
1801585.905,470921.6338
1801585.905,470921.6338
1801585.905,470921.6338
1801585.905,470921.6338
1801585.905,470921.6338
-153254.5814,-875680.2039
171579.6343,-490661.11
171579.6343,-490661.11
1316927.915,-885915.3936
1308748.275,-851680.6005
685999.7114,-577792.5785
1350339.713,-744807.6811
661555.993,-413348.4065
661555.993,-413348.4065
1288553.081,-755662.3244
1273452.096,-752190.8509
1267495.453,-721268.9683
855975.164,-639176.1587
1758936.519,407928.8591
1774361.075,417115.6219
1565831.335,-1194278.057
1807360.489,12236.0702
1797968.472,31274.62419
820305.8874,-109815.7726
1620589.853,317448.1027
1620589.853,317448.1027
1620589.853,317448.1027
-103417.2196,-478700.2827
-103417.2196,-478700.2827
-103417.2196,-478700.2827
1417718.307,-1039408.801
1417580.82,-1038500.942
1389672.694,-1037300.424
-442507.5696,-401079.9368
777050.7224,-122917.0431
1528734.126,-218032.8338
1528738.46,-218057.046
1371729.087,-696836.3057
1364008.94,-684752.006
1379697.449,-671123.0649
839297.4317,-737435.1691
839297.4317,-737435.1691
-12272.87358,-425322.1213
1477785.476,-244794.8186
636499.2979,-668590.669
32832.56903,-877822.2974
1083772.199,-794185.9654
72166.85606,-487407.0271
84588.38156,-492753.2108
706174.725,-708016.4018
702065.136,-700250.6965
1272382.61,-791951.1518
1274113.666,-780102.13
1444243.149,-1080848.499
72156.40741,-487451.7645
-5555.192116,-771338.6382
1022967.603,-807634.1709
1402950.794,-1019343.644
1404297.088,-1008697.417
1402807.132,-996132.314
174566.3267,-805832.8543
674163.7157,19855.52264
169233.4304,-797479.9332
640754.1244,-397910.8754
1488033.04,-1090727.885
1312995.285,-909007.1293
1348618.374,-903758.3585
1305812.291,-906563.8491
1328988.45,-902361.0402
1346995.582,-897401.7554
1326573.941,-895222.3686
1325769.014,-894444.2201
1325769.014,-894444.2201
1454185.343,-1036811.066
1457532.853,-1036080.322
1486490.868,-1027805.42
1456402.389,-1028822.067
1485337.387,-1020550.083
1454056.566,-1024540.111
1446234.403,-1017388.587
1448101.129,-1007802.253
1441415.438,-1007907.75
1430534.282,-1008169.31
1443984.826,-1002861.2
1442068.471,-1001297.945
1437962.908,-998993.5494
1429227.807,-993976.5084
1452558.364,-1025702.491
1452558.364,-1025702.491
1355485.926,-980832.8191
1332409.17,-969743.0257
1338490.943,-955406.2127
1474685.791,-150370.7071
1474685.791,-150370.7071
1474685.791,-150370.7071
1474685.791,-150370.7071
1474685.791,-150370.7071
963191.3464,-706588.0412
1054763.988,-694483.7799
1020506.974,-689103.0065
1403327.29,-494738.3549
1385870.53,-905615.3519
1392068.603,-902818.8559
1391924.139,-894192.8298
1398109.255,-835276.7157
1400120.544,-832953.1102
1401414.747,-831746.8779
1400891.213,-830258.6476
1393260.892,-823730.9657
41438.44066,-428956.3484
41438.44066,-428956.3484
41447.2566,-430818.1286
1420549.619,-1125243.49
666562.6572,-338252.1849
1088966.714,-738907.0555
1114275.059,-734897.2479
1084214.893,-732878.0291
1109633.237,-723345.5438
1123646.152,-693625.6733
1101715.252,-721842.2977
