longitude,latitude
-23602.9766,-874912.2093
-112808.5457,-827220.9786
-112733.5109,-827122.6195
-285577.5313,-451399.8655
259158.5633,-741146.8521
259158.5633,-741146.8521
282264.8676,-571890.1203
-216227.8029,-808951.6477
-214873.1398,-800190.6455
-214394.4775,-799121.9649
-691366.413,-892823.1617
-709142.1826,-891472.2656
-672668.6712,-771861.3213
-723694.0741,-767943.0659
-212508.7526,-1142846.636
-212508.7526,-1142846.636
-212508.7526,-1142846.636
-216946.2255,-771901.1525
-216946.2255,-771901.1525
-216946.2255,-771901.1525
-226420.2296,-752926.9525
-196154.9387,-696378.031
-153259.9441,-875711.5349
-158099.3264,-1279123.526
-183812.6721,-1260032.616
-183787.7391,-1260032.789
-183787.7614,-1260032.483
-171278.7895,-1256832.219
-171278.7895,-1256832.219
-183506.8489,-1249459.123
-183506.8489,-1249459.123
171579.6343,-490661.11
-51590.63905,-870546.9147
-496792.9389,-745289.3145
-563099.6732,-710638.6002
-492432.5402,-443155.5109
-509341.2133,-442189.2242
-481160.9253,-434461.0266
-481160.9253,-434461.0266
-481160.9253,-434461.0266
-481160.9253,-434461.0266
-822562.9442,-586394.1198
-103657.6746,-499163.1027
-94801.23537,-461036.2899
-442507.5696,-401079.9368
-400025.0931,-982077.9849
-459038.5756,-603208.1145
-459038.5756,-603208.1145
-383157.8001,-517509.0992
-489404.0548,-389248.427
72156.40741,-487451.7645
68580.44692,-484994.678
-501602.6383,-468730.115
-501602.6383,-468730.115
-284503.0138,-788562.2505
-61259.38662,-410219.2883
-197597.2127,-877647.6932
-438654.0877,-342043.2264
-343091.2543,-372531.6526
-329968.4731,-465672.2572
-329968.4731,-465672.2572
79685.83167,-586787.6654
-198337.2828,-1260528.504
-240298.2774,-1256393.847
-240319.2023,-1256267.567
-217724.2181,-1243541.663
-208308.8119,-1219609.257
-212926.6975,-1215426.486
-191658.8121,-1262861.545
-226870.0374,-1231226.417
-164758.6998,-567523.8272
-525813.0386,-564169.629
-525813.0386,-564169.629
-525813.0386,-564169.629
-490449.6377,-661020.5451
-758656.492,-744655.7048
-753732.6158,-743208.1956
-267428.6342,-861253.5213
-179003.3006,-1139100.462
-462205.4823,-513728.5068
-457525.2055,-916104.4257
-168883.6627,-1128135.883
-323696.7921,-435175.0496
-63244.60156,-804556.1397
-232050.6783,-761369.9083
-106447.8322,-421290.3136
-106447.8322,-421290.3136
-106395.9619,-420808.6554
-539048.7602,-423628.156
-414792.4309,-983276.5319
-434289.0647,-980541.6256
-274777.1215,-922031.5468
-602469.6063,-633747.3806
-572031.7711,-626444.4138
-151374.7,-408056.6945
-445571.6685,-371084.7156
-405902.3742,-471805.8685
-405902.3742,-471805.8685
-405902.3742,-471805.8685
-202115.4159,-530040.9667
-655754.1091,-715533.7395
-591263.6918,-801624.7585
-655754.1091,-715533.7395
-655754.1091,-715533.7395
-768946.461,-771656.9453
-768946.461,-771656.9453
-768946.461,-771656.9453
-768946.461,-771656.9453
-768946.461,-771656.9453
336683.9842,-686658.3668
-125639.8923,-1025668.25
-20783.2526,-728463.8558
-317477.3996,-988641.7078
-317477.3996,-988641.7078
-444727.6711,-536963.551
65251.18412,-562321.4211
-316220.5034,-1210458.947
-313067.5586,-1217093.304
-424618.1936,-671801.2833
-473118.8507,-661949.9794
-473118.8507,-661949.9794
-437728.6627,-648883.0815
-166514.3177,-806291.7781
-166514.3177,-806291.7781
-166514.3177,-806291.7781
-166514.3177,-806291.7781
-166514.3177,-806291.7781
-170782.9848,-804762.991
-170908.2865,-804328.7452
-171201.1476,-804292.4058
-171097.6918,-804069.1389
-171097.6918,-804069.1389
-169695.8093,-803703.5151
-169774.1121,-803609.5065
-164995.4097,-802000.3663
-204788.7493,-796627.3647
-171250.3311,-794806.6397
-171235.6628,-794792.1036
-171235.6628,-794792.1036
-161482.0517,-793424.2047
-156308.7051,-808645.1299
-158640.7846,-810111.4518
79013.40941,-530705.7066
-367173.5792,-918142.9132
-367411.0182,-917950.5661
-367553.5865,-917699.169
-367553.5865,-917699.169
-474164.1731,-897304.0638
-474164.1731,-897304.0638
268550.1115,-722581.0298
42995.1994,-757717.8142
-14773.50713,-801135.7542
-355873.7304,-1024436.482
250496.8841,-551709.5794
-177272.5632,-1212663.341
-173125.1991,-490630.8833
48184.302,-540552.3585
74951.10294,-527539.0952
74951.10294,-527539.0952
-255050.8988,-483087.9709
-254039.988,-482869.0308
-316220.5034,-1210458.947
-316074.0634,-1210080.492
-341083.4757,-1144590.981
-340916.4674,-1144523.502
-370459.0978,-949158.728
-375670.8128,-976602.2816
-361506.8263,-876170.0314
-240342.9355,-710927.7319
26107.19629,-653043.3254
68854.12714,-667133.6135
131383.4097,-632084.3256
-843.5797888,-575528.13
-184344.7602,-1249820.321
